"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3716","logotest","chromium","2026-03-03","passed","2026-03-03","","Reporter.spec.ts","",""
"","4142","search test","chromium","2026-03-03","passed","2026-03-03","","Reporter.spec.ts","",""
"","6338","search test","webkit","2026-03-03","passed","2026-03-03","","Reporter.spec.ts","",""
"","7048","title test","firefox","2026-03-03","failed","2026-03-03","","Reporter.spec.ts","",""
"","4025","title test","chromium","2026-03-03","failed","2026-03-03","","Reporter.spec.ts","",""
"","4875","logotest","firefox","2026-03-03","passed","2026-03-03","","Reporter.spec.ts","",""
"","4204","title test","webkit","2026-03-03","failed","2026-03-03","","Reporter.spec.ts","",""
"","8005","search test","firefox","2026-03-03","passed","2026-03-03","","Reporter.spec.ts","",""
"","5064","logotest","webkit","2026-03-03","passed","2026-03-03","","Reporter.spec.ts","",""
